ID,English,French,MSA,POS,Easy_target,Medium_target,Hard_target,Easy_distractor_1,Easy_distractor_2,Medium_distractor_1,Medium_distractor_2,Hard_distractor_1,Hard_distractor_2
447,duty-free,hors taxe,مُعْفَى مِن ال+ جُمْرُك,NOUN,معفي من الجمرك,من غير جمارك,معفي مالجمرك,لي فري,دورة كرش,عن قريب,جدول مواعيد,كونتاكت,اورجونس
449,good evening,bonsoir,مَساء ال+ خَيْر,NOUN,مساكم الله بالخير,مساك الله بالخير,ليلتك زينة,مور العصر,مور الظهر,سلعة,سباط,ليموزين,يا زينه
451,few,quelque,بِضْع,DET,بعض,قليل,حبة,هم,دهي,ديل,ذي,هذين,دهين
452,in front,devant,أَمام,NOUN,قدام,مقابل,مقابيل,قوام,ادام,قول,اتجاه,فالواجهة,مقابلة
453,hello,bonjour,مَرْحَباً,NOUN,سلام,خيرات,ازايك,صلا,هلق,بالسلامة,غير,سيدة,سفينة
455,how much,combien,بِ+ كَمْ,ADV,قداش,شكثر,شحال,هم,مكاش,اشكثر,مام,اببيش,جايز
457,most,la plupart,مُعْظَم ، أَغْلَب,DET,اكثر,الغالبية,لابلوبار,كار,اخرى,كمين,هاية,هاذولاك,هاذلاك
463,oh!,oh!,أَه!,INTJ,او,يا,اوب,اوي,اخ,ياح,آي,اي,ايوة
464,okay,ok,حَسَناً,NOUN,اوكي,ما عليه,ميسالش,مارشي,غاشي,خلال,تمن,روى,ايوه
465,go out,sortir,خَرَج,NOUN,طلع,راح,مشا,طلوع,طلة,مشي,ناح,مرة,حرق
466,"pardon , excuse me",pardon,عَفْواً,NOUN,عن اذنك,بعد اذنك,اعذرني,انفو,العن,معلش,خرب,مساحة,المرة
467,percent,pour cent,بِ+ ال+ مِئَة,NOUN,بالمئة,في المية,نسبة,بالمرة,المرة,فاميلة,بالوعة,نوبة,نسمة
469,someone,quelqu'un,شَخْص ما,PRON,احد,شي واحد,حدن,شني,احني,قوا,الهن,وحدك,حقش
470,such,tel que,مِثْل,NOUN,نفس,شبه,فحال,ناس,بيما,تكيف,كمة,مع,ست
472,get up,se lever,ٱِسْتَيْقَظ,VERB,قام,ناض,صبي,قامر,ام,صرى,وطي,يبي,كد
473,what,quoi,ماذا,PRON,شني,شلون,وشهو,انو,وشنو,موه,اشوف,شنوما,وشوه
476,"will , shall",aller,سَوْفَ ، سَ+,PART,راح,باش,بش,م+,هم,ماش,ماشي,لع,لو
477,wow,wouaou,واو,NOUN,الله,بالله,اوو,تو,ضو,وش,فيو,ايوه,يعوه
478,"yes , yeah","oui , ouais",نَعَم ، أَجَل,INTJ,ايوه,هيه,باهي,يا,وي,اوي,آح,ايوا,لع
491,twelve,douze,إثْنَا عَشَر,NUM,اثنعشر,اثنعش,اثنعشن,الثنعش,احدعشر,الثناعش,الاثناعش,احدعشن,ايدعش
533,eleventh,onzième,ال+ حادِي عَشَر,NUM,الحادي عشر,الاهدعش,حدعشر,اهدعش,ايدعش,احدعشن,ادعش,احدعشر,هدعشر
535,thirteenth,treizième,ال+ ثالِث عَشَر,NUM,الثالث عشر,الثلاثتاعش,الثلاثتعشر,الخامس عشر,الاثنعشر,ثلاثتعشن,ثلثتعش,ثمانتعشر,الثمانتعشر
538,sixteenth,seizième,ال+ سادِس عَشَر,NUM,السادس عشر,ستتعش,الستتعشر,التسعتعش,التستعتعش,ستتاعش,ستتعشن,التسعتعشر,السبعتعشر
539,seventeenth,dix-septième,ال+ سابِع عَشَر,NUM,السابع عشر,السبعتعش,السبعتعشر,سبعتعشن,سبعتعشر,التسعتعش,الاربعتعش,الاربعتعشر,التسعتعشر
540,eighteenth,dix-huitième,ال+ ثامِن عَشَر,NUM,الثامن عشر,الثمانتعش,الثمانتعشر,الخامس عشر,الاثنعشر,ثمنتعشر,ثمانتعشل,ثمانتعشن,الثلاثتعشر
541,nineteenth,dix-neuvième,ال+ تاسِع عَشَر,NUM,التاسع عشر,تسعتعش,التستعتعش,الخامس عشر,رابع عشر,تسعتعشن,تسعتاعش,سبعتعشر,ستتعشر
571,about,environ,حَوالَي,NOUN,تقريبا,زي,علاين,جريب,ريح,مول,امال,ولاية,واياك
579,then,ensuite,ثُمَّ,CCONJ,وبعدين,خلاف,اومبعد,يو,مي,لعد,بصح,امبعد,ياخي
580,another,autre,آخَر,ADJ,ثاني,وحد آخر,اللخري,فير,تاني,واحد آخر,كاين,ماخر,الدار
581,around,vers,حَوالَي ، حَول,NOUN,جنب,جويه,جيهة,ضرب,جريب,حقا,عهد,جهة,تلج
582,as,comme,كَ+,ADP,زي,كنه,سعما,زيد,في,صنع,لين,مع,ع+
584,at,chez,عِنْد,NOUN,في,جنب,حذا,فيو,فل,و+,بجنب,حيا,حقا
585,because,parce que,لِ+ أَنَّ,SCONJ,لانه,علىشان,بارسكو,ان,او,ذيك,ذاك,هذاك,هذك
587,behind,derrière,خَلْف,NOUN,ورا,بعد,مور,وعا,سرا,بلد,برد,مرور,مول
588,beside,près,جِوار,NOUN,عند,حد,بجنب,تم,سند,حق,حز,اوتي,تلج
590,but,mais,لٰكِنْ,CCONJ,ولكن,مي,بصح,يو,تو,اذا,امالا,بعد,ابري
592,during,pendant,خِلال,NOUN,وقت,طول,فوقت,لمام,للا,فيل,يم,فوج,بواسون
595,except,sauf,عَدا,VERB,ما عدا,كان,منعدا,تلا,سالا,غيب,كبس,انعدم,نجد
596,for,pour,لِ+ ، مِن أَجْل,NOUN,عشان,حق,منشان,محل,ميل,ل+,بحال,فنجان,منفاخ
600,inside,à l' intérieur,داخِل,NOUN,الداخل,جوات,فوسط,جول,داخل,قلب,بيا,وسط,فسط
601,like,comme,مِثْل,NOUN,كي,شبه,فحال,بيما,لما,نفر,حال,سيما,هسع
602,near,près,قُرْب,NOUN,جنب,حد,بجنب,عهد,جنط,كد,حك,اوتي,كوتي
604,no,non,كَلّا,INTJ,لا لا,ما شي,هائه,يا,سم,اي,يو,وي,هيه
606,take off,baisser le prix,خَصَم,NOUN,نقص,قلل,هبط السومة,نص,ندر,حولي,مال,ضحى,اخص
609,outside,à l' extérieur,خارِج,NOUN,برات,برا,برع,بترة,فرة,ابري,اوبا,فرع,برد
613,some,"du , quelque",بَعْض,NOUN,شي,حد,حبة,شط,شلية,عد,ود,حصة,حسبة
616,"go through , cross",passer,عَبَر,VERB,قطع,جاز,مرق,بص,قطر,مد,عاز,حاز,دز
617,"till , until",jusque,حَتَّى,ADP,لحد,الى,لبين,ع+,هم,في,على,قام,سعما
619,toward,vers,ٱِتِّجاه,NOUN,باتجاه,ناحية,فير,جية,جوة,لص,ح+,خير,فيل
622,while,pendant,أَثْناءَ,NOUN,خلال,لمن,بوندون,ح+,كما,فك,فل,بوطون,بواسون
625,without,sans,دُون,NOUN,بدون,بلا,مبلا,بون,ندوة,بلم,باش,طبعا,لا
628,mine,"le mien , la mienne , les miens , les miennes",لِ +ي,PRON,مالي,بو حالي,مالتي,تبعه,مالك,دياله,حالك,تاعه,مالته
630,myself,moi-même,نَفْس +ِي,PRON,روحي,ذات نفسي,نيت,روحش,ذاته,حالش,وحده,انت,ايه
635,our,nôtre,لَ +نا,PRON,حقنا,بو حالنا,مالتنا,انا,مالها,حالها,حالهم,تاعها,تبعها
636,ourselves,nous-même,أنْفُسِ +نا,PRON,روحنا,ايدينا,وحدنا,روحهم,روحهن,حالها,ذاتا,وحدها,وحدش
641,yours,"le tien , la tienne , les tiens , les tiennes",لَ +كَ,PRON,حقك,حالك,تاعك,الا,حقكن,حالش,مالكم,متاعه,دياله
642,yourself,toi-même,نَفْس +كَ,PRON,نفسك,وحدك,نيت,ذاتكي,ذاتكم,حالكم,وحده,هيو,شني
647,yours,"le tien , la tienne , les tiens , les tiennes",لَ +كِ,PRON,لك,بو حالش,الكي,حالك,الكن,بو حالك,بو حالي,تبعكن,الكو
648,yourself,toi-même,نَفْس +كِ,PRON,نفسكي,انتي ذاتك,روحش,روحكن,ذاته,لالك,راسي,نفسجن,ذاتكو
649,you,vous,أَنْتُما,PRON,انتن,انتو الاثنين,ثنينكم,انو,انته,انتوم,انتي,نتوم,لجن
652,yours,"la vôtre , le vôtre , les vôtres",لَ +كُما,PRON,حقكم,بو حلكن,لجن,لالكم,الكي,بو حالهن,بو حالهم,حالك,تبعهم
653,yourself,vous-même,نَفْس +كُما,PRON,نفسكم,انفسكن,نفسجن ثنينجن,نفسيكم,نفسهم,انتم الاثنين,روحهم,روحهن,مالكم
657,yours,"la vôtre , le vôtre , les vôtres",لَ +كُم,PRON,حقكم,بو حالكم,لالكو,حقكن,الكي,مالك,بو حالكن,مالتكن,حالكن
658,yourself,vous-même,نَفْس +كُم,PRON,انفسكم,روحكم,حالكم,انفسكن,نفسهم,نفسيكو,روحكن,لالكم,نفسكي
662,yours,"la vôtre , le vôtre , les vôtres",لَ +كُنَّ,PRON,حقكم,حقكن,ديالكم,حالكم,كم,الهن,الج,مالهن,تبعك
663,yourself,vous-même,نَفْس +كُنَّ,PRON,نفسكم,روحكم,حالكم,نفسهم,نفسكي,نفسهن,روحهم,ذاتكم,حالهم
668,his,"le sien , la sienne , les siens , les siennes",لَ +هُ,PRON,ماله,بو حله,مالته,حقهن,الج,بو حالهم,بو حالش,تاعي,تبعها
669,himself,lui-même,نَفْس +هُ,PRON,نفسه,وحده,بايده,روحهم,نفسش,راسي,وحدهم,بايدها,بايدهم
674,hers,"le sien , la sienne , les siens , les siennes",لَ +ها,PRON,حقها,حالها,ديالها,الهن,حقهن,مالهم,حالهن,مالتهن,تاعه
675,herself,lui-même,نَفْس +ها,PRON,روحها,هي ذاتها,بايدها,روحهن,روحنا,راسهم,ذاتنا,بايدهم,بايده
676,they,ils,هُما,PRON,هن,هنا,هنن,هنه,هين,انا,شنوا,حدن,انو
680,theirs,"la leur , le leur , les leurs",لَ +هُما,PRON,لهم,مالهم,تبعهن,حلهم,حاله,بو حله,مالتهم,حلهن,تبعه
681,themselves,eux-même,نَفْس +هُما,PRON,نفسهم,وحدهم,ذاتهن,نفسكو,نفسجن,وحدكم,حاله,بايدكم,ذاتها
686,theirs,"la leur , le leur , les leurs",لَ +هُم,PRON,حقهم,تبعهم,الهن,لالهم,مالها,بو حاله,تبعها,حلهن,تاعه
687,themselves,eux-même,نَفْس +هُم,PRON,نفسهم,هم ذاتهم,نفسهن,انفسهن,نفسكن,روحكم,حاله,ذاتها,ذاتكن
688,they,elles,هُنَّ,PRON,هم,هوما,هنه,#+هن,#+ها,نتوما,هيها,هنا,هين
692,theirs,"la leur , le leur , les leurs",لَ +هُنَّ,PRON,حقهم,الهن,تبعهن,لالهم,حالهم,بو حاله,بو حلهم,حلهم,حالكن
693,themselves,eux -même,نَفْس +هُنَّ,PRON,انفسهن,حالهم,نيت,نفسجن,انفسكن,حاله,حالكم,ذاتكن,وحده
694,this,"ce , cet , ceci",هٰذا,DET,هاذا,ذا,ذيه,هادك,هاذو,هاذي,هذني,دهي,تيه
695,this,"cette , celle -ci",هٰذِهِ,DET,هاذي,هاي,دهي,هاذ,ديك,هاية,هذين,دهو,دهون
699,that,"cela , celui -là",ذٰلِكَ,DET,ذاك,هداك,دهو,هدوك,ذا,ذيه,ديل,دهين,دهي
703,what,que,ماذا,PRON,واش,شنيا,شنوما,انو,حنو,وشو,وشهو,مو,اشوف
709,there is not ...,il n' y a pas,لَيْسَ هُنالِكَ ، لَيْسَ ثَمَّةَ ، لَيْسَ هُناكَ,ADV,مافيهش,ماكو,مابهش,فينه,جايز,اكو,اكهو,كاين,قداش
710,fare,tarif,أُجْرَة,NOUN,سعر,حق,نول,سهر,سير,حز,حقه,نشل,اول
714,black,noir,أَسْوَد,ADJ,اخضر,كحل,شوشان,اخير,مخضر,احمر,شحط,هوين,سهران
715,shoot,tirer,أَطْلَق,VERB,ضرب,طق,حدف,هات,طب,دون,نطق,شارط,كبس
717,declare,déclarer,أَعْلَن,VERB,بين,ديكلارا,روج,نال,صلح,تابع,عاش,روح,لوج
719,mother,mère,أُمّ,NOUN,والدة,مامة,ماين,دابا,قامة,مهمة,امة,امال,بين
720,son,fils,ٱِبْن,NOUN,عيل,طفل,ضنى,وفد,عيط,عد,وج,ضحى,عدى
722,listen,écouter,ٱِسْتَمَع,VERB,اتسمع,اتصنت,تنصت,مد,سعى,تصنت,اتسدح,تفلت,تنشن
727,extra,supplémentaire,إِضافِيّ,ADJ,زيادة,احتياط,بزايد,زياة,اجد,انتيكا,روتيني,بزاف,بريد
728,tire,pneu,إِطار,NOUN,تاير,بنو,دولاب,تاي,عملة,نفر,كار,برودة,روضة
733,exchange,échanger,بَدَّل,VERB,صرف,فك,قايض,حور,صف,فت,شك,ريض,ايد
735,simple,simple,بَسِيط,ADJ,سهل,هوين,بديهي,زين,فادح,زوين,يسبر,بسيط,اهلي
742,shopping,shopping,تَسَوُّق,NOUN,شرا,شوبينغ,تمهار,ورا,شرق,شوميز,بين,قضية,بنيان
745,tv,télé,تِلْفِزيُون,NOUN,تي في,تلفزة,لاتيلي,تيكي,لي فري,سلفية,بلوزة,جاتني,سايي
749,timetable,horaire,جَدْوَل,NOUN,وقت,جدول مواعيد,ساعة,وقف,فوقت,جولة سياحية,دوب ما,ساعد,ساحة
752,shrimp,crevette,جَمْبَرِيّ,NOUN,كروفات,روبيان,شفرات,دروات,كراع,بيان,روحان,فراش,شربت
753,quality,qualité,جَوْدَة,NOUN,كاليتي,نوعية,نوعية باهية,كلية,كليشة,رواية,كوفية,جولة سياحية,باي باي
757,bellboy,chasseur,خادِم,NOUN,عامل,بص بوي,حمال الشنط,كامل,علم,شال,مقابل,حال,مال
758,free,libre,خالِي,ADJ,فاضي,حر,خاوي,سالي,واجي,حص,حق,داوي,غاوي
760,serious,grave,خَطِير,ADJ,جاد,ضروري,رزين,جاف,جيد,رفيع,ياسر,دوني,زين
761,back,arrière,خَلْف,NOUN,وراء,التالي,مؤخرة,سرا,سهر,قلل,لفظ,شور,موس
763,invite,inviter,دَعا,VERB,عزم,نهم,انفيتا,جزم,عزل,ادى,استضا,انفلت,فيزيتا
767,lobby,hall,رَدْهَة,NOUN,لوبي,فسحة,مجبب,نول,مول,بنو,وسطة,شركة,صرفة
773,wife,femme,زَوْجَة,NOUN,حرم,مادام,مكلف,مرق,مرقة,ادام,فرمة,مكلة,مول
776,happy,heureux,سَعِيد,ADJ,فرح,سالي,متونس,فري,فرق,مزرور,داوي,باهي,زاكي
777,ship,bateau,سَفِينَة,NOUN,باتو,بابور,يخت,باتي,مركوب,وابور,بسبور,لهجة,تخت
782,slice,tranche,شَرِيحَة,NOUN,قطعة,طرف,وصلة,قرعة,قصعة,طران,طرن,شطة,شوفة
784,certificate,certificat,شَهادَة,NOUN,دبلوم,سيرتيفيكا,اجازة,دبلة,بلم,سيرفيس,تيكا,ازازة,مال
786,interesting,intéressant,شَيِّق,ADJ,مشوق,انترستنج,مسلي,ممشوق,مشوم,جليل,خير,باهر,محمم
788,TRUE,vrai,صَحِيح,ADJ,صح,حق,مضبوط,قصح,وحش,حص,حر,مزروب,مكبوس
791,sauce,sauce,صَلْصَة,NOUN,صوص,مرق,صلصل,سور,سوى,قدام,مرة,تاصل,فليل
792,make,fabriquer,صَنَع,VERB,عمل,صلح,صايب,دبر,عطل,شك,سعى,هبر,جبر
794,fishing,pêche,صَيْد,NOUN,صيد سمك,بحر,حداق,صيد,صايد,بصر,حر,حدا,حراق
796,emergency,les urgences,ال+ طَوَارِئ,NOUN,طوارئ,مستعجل,ارجنس,طاقة,جار,طوالي,ضربني,اردوننس,اردننس
797,student,étudiant,طالِب,NOUN,تلميذ,اتيديون,تلميد,طلب,قالب,اتعديت,اليمين,جليد,المسيد
798,counter,comptoir,طاوِلَة,NOUN,كاونتر,طربيزة,ميز,كونتور,كاوتش,طرابيزة,عربية,ابلة,ميل
803,regular,normal,عادِيّ,ADJ,اعتيادي,نظامي,روتيني,سوري,كوري,بصيط,بريد,دوني,رزين
805,suffer,souffrir,عانَى,VERB,قاسى,توجع,اتكبد,تأمل,توجس,زكى,شكل,تعدى,تعب
807,cart,chariot,عَرَبَة,NOUN,شاريو,عربانة,كارو,شاري,شاشية,جار,كروة,عطلة,عملة
809,vacation,vacance,عُطْلَة,NOUN,اجازة,فاكونس,صلاعة,ازازة,جزازة,ماعون,داكور,صناعة,فوتة
810,sign,panneau,عَلامَة,NOUN,اشارة,لافتة,بانو,امارة,شفار,بلاصة,كارتة,باكو,روحة
813,girl,fille,فَتاة,NOUN,طفلة,بنية,صبية,بو,بنو,حنية,بنينة,صبيغة,صبي
814,cup,tasse,فِنْجان,NOUN,كوب,طاس,قلص,جباية,دوب,طحاس,كان,كلاو,قلاص
815,towel,serviette,فُوطَة,NOUN,بشكير,منديل,سربية,باكية,شكثر,كولي,بولي,حلقة,عربية
817,meet,rencontrer,قابَل,VERB,اجتمع,حصل,صادف,عاف,شاء,قاعد,وصل,غادر,صايب
819,story,histoire,قِصَّة,NOUN,حكاية,سالفة,حزوية,حفاية,حنية,سلفة,كواية,سفرة,سير
821,spend,passer,قَضَى,VERB,صرف,عدى,مقضي,عرف,صرى,مد,عبى,دور,داز
826,pamphlet,brochure,كُتَيِّب,NOUN,منشور,بروشور,مطوية,مشوار,ماطور,روتور,برودوي,طرقة,مرقة
832,contact lens,lentille de contact,عَدَسَة لاصِقَة,NOUN,عدسة,لونتي,لنسس,فلسة,صدفة,لونتيي,لنتي,آنسة,ناس
834,game,jeu,لُعْبَة,NOUN,جيم,طرح,مبارة,جيد,جية,طرب,طرف,مبارح,مطارة
836,amount,montant,مَبْلَغ,NOUN,كمية,مقدار,حسبة,تم,كنية,قحمة,قسيمة,شومة,حبة
838,"group , set",groupe,مَجْمُوعَة,NOUN,جماعة,وفد,فئة,جريب,جمادة,واد,طرقة,جوج,فكة
840,toilet,toilette,مِرْحاض,NOUN,حمام,بيت الما,مرافق,حرام,لمام,كنية,كيف,شومة,خلال
841,pass,passer,مَرَّر,VERB,فوت,عدى,عطى,فول,فوض,ما,خاف,نادى,ادي
842,track,voie,مَسار,NOUN,طريق,سكة,ثنية,حريق,امر,عرب,رب,حجرة,حجارة
843,distance,distance,مَسافَة,NOUN,بعد,مشوار,ديسطونس,برد,عد,مرواح,مرور,ليسونس,ليسطومة
847,pump,pompe,مِضَخَّة,NOUN,بمب,ماطور,بم,بوك,عتبة,مور,شاور,بو,عم
853,spoon,cuillère,مِلْعَقَة,NOUN,معلقة,مغراف,كشيك,مقة,معليش,مغرب,غرام,شيك,قفلة
854,excellent,excellent,مُمْتاز,ADJ,جيد,مميز,خارق العادة,جد,عجيب,جليل,مزير,باهي,اه
856,area,région,مِنْطَقَة,NOUN,مكان,ميدان,ناحية,حل,مكانة,ميدسان,جردان,حصة,وجهة
859,site,site,مَوْقِع,NOUN,محل,سيت,ناحية,ميل,مكانة,ست,سيل,بلاكة,جوة
860,corner,coin,ناصِيَة,NOUN,ركنة,كورنر,قرنة,كاوية,ريف,زوز,زول,كمة,يمة
861,window,fenêtre,نافِذَة,NOUN,شباك,طاقة,دريشة,شاب,سباط,طاق,طقة,روحان,مطيشة
862,plant,plante,نَبات,NOUN,زرع,شتلة,خضرة,فرع,برع,شغلة,جرعة,حجرة,خطرة
864,woman,femme,إِمْرَأَة,NOUN,ست,ولية,سيدة,سا,جدام,كلية,وليمة,مكلة,سيدا
866,look,"regard , coup d' oeil",نَظْرَة,NOUN,طلة,شوفة,تطليعة,شلة,غلة,شومة,شرفة,بصر,تبهيت
867,clean,propre,نَظِيف,ADJ,نقي,مغسول,نضيف,باهر,طارف,مغلوط,يم,ظريف,لطيف
868,river,rivière,نَهْر,NOUN,واد,بحر,شط,عاد,وفد,بصر,حر,شطة,شق
869,quiet,tranquille,هادِئ,ADJ,سكوتي,ترونكيل,رزين,سوري,لافت,لايق,هايل,زين,واجي
871,father,père,والِد,NOUN,بابا,بين,باه,بهو,شاب,بيا,دين,باكي,باش
872,waist,taille,وَسَط,NOUN,خصر,نص,حقو,بصر,خزر,ياي,تاج,حقا,حقة
873,sign,signer,وَقَّع,VERB,مضى,اعتمد,صحح,رضى,قضى,اجتهد,غمض,دشر,صلح
874,matter,sujet,أَمْر,NOUN,موضوع,حكاية,غرض,مشي,في,تقضية,حفاية,شحن,مكلة
876,"mr. , sir",monsieur,سَيِّد,NOUN,استاذ,اخ,عمو,تكتور,وي,او,اخص,عمة,عمر
877,"ms. , maam",madame,سَيِّدَة,NOUN,ست,ام,للا,سع,سيت,تم,يم,صلا,تلا
878,a little bit,un peu,ال+ قَلِيل,ADJ,شويه,ماشي بزاف,حبة,شهي,عليل,ضريف,ظريف,جميل,قمة
879,too much,trop,كَثِيراً جِدّاً,NOUN,كثير,واجد بكل,هوايا,كنيف,كلية,واحد,واد,قد,شق
880,"many , a lot",beaucoup,كَثِيراً,ADJ,واجد,نود,هلبة,وافد,اجد,عود,جاف,مالاد,ملائم
881,"still , yet",encore,ما زال,VERB,بعد,مازال,لساته,قعد,كعد,لهف,فزع,ضل,قلب
882,leave,laisser,تَرَك,VERB,خلى,خلف,دشر,صاب,طالع,مضى,ضرب,اشر,دار
883,"take , last","falloir , prendre de temps , durer",ٱِسْتَغْرَق,VERB,قعد,شد,بقى,قد,كعد,كد,حكى,بدى,بغى
884,charges,des frais,رُسُوم,NOUN,تكاليف,مصاريف,ثامان,سلفة,كلمة,سجور,مصاري,امال,زمان
888,time,fois,مَرَّة,NOUN,فد مرة,اكو مرة,كرة,مرتبة,دمية,المرة,حومرة,كرت,كرشة
889,"may I ... ? , can I ... ?",puis -je ... ?,هَل يُمكِنُ +نِي أن ... ؟,PART ... ?,ممكن,فيني,اسكه,يندرى,صادق,جد,زعمك,اسكو,جا ما
890,"might , may",peut-être,قَدْ ، رُبَّما,ADV,احتمال,جايز,بلكشي,امكن,ماكو,بيجوز,بلكت,تمايا,بشكم
891,"already , for sure","vraiment , certainement",قَدْ ، فِعْلاً,NOUN,خلاص,من جد,بالصاح,خلال,قلاص,سوى,وج,بالليل,باجاج
892,really,vraiment,حَقّاً,ADJ,بالحق,حقيقي,مضبوط,جيد,صدك,بعد,اجد,مزبوط,مظبوط
894,be afraid,avoir peur,خَشِي,VERB,قلق,ارتعب,توهم,قلب,حاف,خطف,اتعجب,فز,اتهم
896,bound to,à destination de,مُتَّجِه إِلَى,ADP,رايح ع+,ماشي,ساير,زايد,قايم على,الين,همات,قد,دير
898,arrival,arrivée,وُصُول,NOUN,قدوم,رجوع,مجية,قوم,قدام,جيهة,غية,مشية,مزية
900,"completely , perfectly ,","parfaitement , complètement",تَماماً,NOUN,بالكامل,كلش,خارق العادة,كلية,بالكل,فكامل,اكل,بالصاح,باوند
905,right away,immédiatement,حالاً,NOUN,فورا,قوام,دابا,ذلحين,ورا,قوم,سا,شقد,سند
906,soon,bientôt,قَرِيباً,ADJ,عن قريب,بعد شوية,جريب,بعد مرة,سي فري,بيشهي,داهية,جراف,جدي
907,stay,"séjourner , descendre à",أَقام,VERB,بقى,تم,قنبر,بيت,نال,تك,فعل,قمبر,ستنى
910,severe,fort,شَدِيد,ADJ,قاسي,مرة,قصح,حر,زوين,واجي,فردة,جراف,خلاف
913,"catch , hold",attraper,أَمْسَك,VERB,شد,حكم,شبح,سد,قد,حسم,عزم,خبط,هبط
914,I caught a disease,J' ai attrappé une maladie,أََصابَ +نِي مَرَض,NOUN,مرضت,تعبت,تمرضت,مبيت,مرق,كعب,شربت,عشي,باتي
916,"largest , larger",plus grand,أَوْسَع,ADJ,اكبر,اعظم,افسح,عبر,ابري,ضخم,اعجم,طافح,قاسح
917,"suitable , appropriate , fit well","convenable , aller bien",مُناسِب,ADJ,معقول,منيح,ملايم,رزين,معقولة,رايق,مقبل,مضبوط,مزبوط
918,well,bien,جَيِّداً,ADJ,حلو,طيب,باهي,مليق,ملايم,زوين,هين,باقي,مزبوط
919,again,encore,مَرَّة أُخْرَى,ADJ,مرة ثانية,مرة غيرها,كرة ثانية,تاني,جبني,ملان,عيان,هين,زين
920,more,plus,ال+ مَزِيِد,NOUN,كمان,بعد,بلوس,زند,حيد,عد,برد,فلوس,بوس
921,look,regarder,نَظَر,VERB,شاف,بحلق,شبح,خاف,عاف,حل,لاحق,غير,هد
922,shape,forme,شَكْل,NOUN,فورم,اسلوب,صيغة,جيهة,شيرة,برمة,فرقة,صبغة,صبيغة
923,allow,permettre,سَمَح,VERB,خلي,ترك,رضى,خطي,خل,تك,سار,قضى,رأى
924,go straight,aller tout droit,سار لِ+ ال+ أَمام,NOUN,مشي لقدام,راح قدام,مشى ستريت,طوالي,سبيطال,عطول,على بين,توت سويت,اذا بتريد
925,make,faire,جَعَل,VERB,عمل,شكل,دعى,دور,امل,داس,شد,وعى,نكع
939,june,juin,يُونِيُو,PROPN,جوان,الشهر السادس,يونيه,آذار,حباب,الشهر السابع,الشهر الثالث,يوليه,جونتي
940,july,juillet,يُولِيُو,PROPN,جويلية,شهر سبعة,يوليه,جونتي,شهر هدعش,الشهر السادس,الشهر الثاني,يونيه,حليو
941,august,août,أَغُسْطُس,PROPN,اوت,آب,غشت,ناعم,ايلول,طيب,الشهر الثاني,زين,عسل
944,november,novembre,نُوفِمْبِر,PROPN,تشرين الثاني,شهر اهدعش,الهدعش,شهر اثناعش,كانون الثاني,شهر ثمانة,شهر ثمانية,الاثنعش,الواحد
946,purchase,achat,شِراء,NOUN,مشترى,تسوق,مسواق,شراب,شتاء,سوق,دلوق,مشاي,شوي
947,going,aller,ذَهاب,NOUN,مشية,الي,نزلة,مرشي,روح,مجية,ريح,سير,شرحة
948,getting,obtenir,حُصُول,NOUN,اخذ,انه يدي,تدبير,اخ,اخص,كسم,زوز,عدى,تحويل
951,changing,changer,تَغْيِير,NOUN,تبديل,قلب,شونجمو,تبطيل,تحويل,قلص,طلب,شونج,شومة
954,sending,envoyer,إِرْسال,NOUN,بعث,توجيه,بعثان,بعد,برع,تحصيل,توصية,دق,حز
955,of course,bien sûr,طَبْعاً,NOUN,بيان سور,مالا لا,بالطبيعة,ازيد,مصيد,ابال,اماه,معلومة,معله
957,nice,gentil,لَطِيف,PROPN,حالي,ضريف,جنتيل,جانفي,افريل,آب,شباط,ايلول,الرابع
958,same,le même,نَفْس,NOUN,زي,ذات,سعما,في,وي,ريف,كمة,مع,لما
959,later,plus tard,لاحِقاً,ADJ,بعدين,خلاف,امبعد,بعده,بنين,بجد,لافت,بريد,كوري
960,suitcase,valise,حَقِيبَة سَفَر,NOUN,شنطة سفر,شانطة,جنطة,شطة,شجرة,حبة,حسبة,جنط,جنطرة
962,sleep,dormir,نام,VERB,بات,نعس,اندفس,بت,نال,غدى,حقد,هجر,هج
963,sleep,sommeil,نَوْم,NOUN,نعاس,رقاد,مبيت,ناس,نعال,رودة,ردة,نبيت,تبهيت
966,down,vers le bas,إِلَى ال+ أَسْفَل,ADJ,تحت,لا نازل,لوطى,تحفة,كحل,منزلي,سوى,اوطى,لوكس
967,anything,ne importe quoi,أَيّ شَيْء,NOUN,اي حاجة,اللي تحب,حيالله,ايتاج,حاجة,كي كان,اولريدي,بالله,حال
968,wrong,faux,خاطِئ,ADJ,غلطان,مش صحيح,مخطي,لخ,ملان,مشحوط,مغسول,مبطي,مسلي
969,miss,mademoiselle,آنِسَة,NOUN,مدموازيل,الاخت,استاذة,يخت,اخ,الامس,ابال,طبلة,اكلة
970,park,se garer,رَكَن,VERB,وقف,جاري,جرج,برم,وقع,وظف,درب,خرج,هرج
971,"select , pick",choisir,ٱِخْتار,VERB,خير,اخذ,حدد,بقى,خزر,عتل,عزم,حود,حمد
975,"run out , end",se epuiser,نَفِد,VERB,خلص,تم,زلج,خص,خلى,عار,تمم,اوفى,مضى
976,end,terminer,ٱِنْتَهَى,VERB,كمل,تم,قضى,امل,خص,جبر,ام,ساوا,مضى
