English Word	EN_ARTransliteration	French Word	FR_ARTransliteration
box	بوكس, بَكس, بُكس	compagnie	كومپانِي, كومپانِي, كومپانِي
something , thing	سَمْثينج, ثينج, ثِينج	boîte	بُوات, بُوات, بُوات
work	وورك, وُرك, ورك	chose	شُوز, شُوز, شُوز
dessert	ديسِرت, ديسيرت, ديزيرت	travail	تْرَافاي, تْرَافاي, تْرَافاي
arrive	أريف, أرْايف, أريف	dessert	دِسِر, دِسير, دِسِر
small , little	سمول, ليتل, صْمول	arriver	آريفِيه, أريفِي, آريفِيه
press	بريس, بْرس, بريس	petit	پْتِي, پْتِي, پْتِي
tourism	توريسم, تورِزم, توريزم	appuyer	آپُويِيه, أپويِيه, آپُويِيه
follow	فولو, فَلو, فلو	tourisme	تُوريسْم, تُورِسْم, تُوريسْم
list	ليست, لِست, ليست	suivre	سُويْڤر, سُويْفْر, سُويْڤر
international	إنترناشونال, إنتِرنَشونال, إنترنشنال	liste	لِست, لِست, لِست
exit	إكزيت, إِكسِت, إكزِت	international	إِنْتِرنَشُونَال, إِنترناسيُونَال, إِنْتِرنَشُونَال
front	فرونت, فْرونت, فرونت	sortie	سُورتي, سُورتي, سُورتي
single	سينجل, سِنجل, سينْجل	en face de , face à	أَنْ فَاسْ دُ, فَاسْ آ, أَنْ فَاسْ دُ
part	بارت, بَرت, بارت	simple	سيمبل, سِيمْبل, سيمبل
mile	مايل, مَيل, مايل	partie	پَارْتِي, پَارْتِي, پَارْتِي
great	غريت, غْريت, جريت	utiliser	يُتِيلِيزِيه, يُتِيلِي, يُتِيلِيزِيه
drop	دروب, دْروب, دروب	mille	مِيل, مِيل, مِيل
happen	هابِن, هبِن, هابن	boisson	بُوَيسُون, بُوَسُون, بُوَيسُون
change	تشينج, تشينج, تشينج	génial	جِنِيَال, جِينْيال, جِنِيَال
department	دبارتمنت, ديبارتمنت, ديپارتمنت	tomber	تومبِيه, تومبِي, تومبِيه
fill	فيل, فِل, فيل	passer	پَاسِيه, پَاسِي, پَاسِيه
ticket	تيكِت, تِكت, تيكت	monnaie	مُونِي, مُونِي, مُونِي
other	أذر, أُذر, أذَر	rayon	رِيهُون, رِيهْيون, رِيهُون
long	لونج, لُونج, لونج	remplir	رَمْپْلِير, رَمْپْلِي, رَمْپْلِير
price , rate	برايس, ريت, برايس	billet	بِييِيه, بِلِيه, بِييِيه
have	هاف, حاف, هاف	autre	اوتر, أُوتر, اوتر
by the way	باي ذا واي, بِذَ واي, باي ذا واي	long	لُونغ, لُونغ, لُونغ
how much	هاو ماتش, هاو مُتش, هاو ماتش	prix	پْرِي, پْرِي, پْرِي
open	أوبن, أُپن, أوبِن	devoir	دِفُار, دِفُوَار, دِفُار
afternoon , p.m.	آفترنون, آفترنُن, أفترنون	au fait	أُ فَي, أُ فِيت, أُ فَي
next	نيكست, نِكست, نيكس	combien	كُمْبْيَن, كُمْبِيَن, كُمْبْيَن
information	إنفورميشن, إنفورمِيشِن, إنفورمشن	ouvrir	أُوفْرِير, أُوفِر, أُوفْرِير
full	فول, فُل, فُول	après-midi	أَپْرِه مِدِي, أَپْرِه مِدِي, أَپْرِه مِدِي
finish	فينش, فِنِش, فينِش	prochain	پْرُوشَان, پْرُوشِين, پْرُوشَان
taxi	تاكسي, تاكْسِي, تاكسي	commander	كومَنْدِيه, كُمَاندِي, كومَنْدِيه
moment	موومنت, مومنت, مُومنت	information	أَنْفُورمَاسِيُون, أَنْفُورمَاشِيُون, أَنْفُورمَاسِيُون
time	تايم, تايم, تَيم	complet	كومپليه, كومپلي, كومپليه
know	نو, نُو, نو	finir	فِينِير, فِينِير, فِينِير
do	دو, دُو, دو	taxi	تَاكْسِي, تاكْسِي, تَاكْسِي
tooth	توث, تْوث, توث	moment	مُومَان, مُومَنْ, مُومَان
traveler check	تراڤيلَر تشيك, تراڤِلر تشِك, تراڤِلَر تشِك	temps	تَنْ, تَمْ, تَنْ
bag	باج, بَگ, باق	savoir , connaître	سَافُوار, كُونَتْر, سَافُوار / كُونَتْر
available	آفيلابل, أفِيلابل, آفِيلابل	faire	فِير, فِير, فِير
laundry	لاندري, لاندري, لَونْدري	dent	دَنْ, دَنْ, دَنْ
food	فود, فُود, فُوْد	chèques-voyages	شِك-فُوياج, شِك-فُويَاج, شِك-فُوياج
leave	ليف, لِيف, لِيف	sac	ساك, سَاك, ساك
too , also	تو, ألْسو, تو	disponible	دِيسْپُونِيبِل, دِيسپُونِيبِل, دِيسْپُونِيبِل
last	لاست, لَست, لست	linge	لَنْج, لَنْج, لَنْج
hour	آور, أَوْر, أور	changer	شَانجِيه, شَانجِي, شَانجِيه
need	نيد, نِيد, نيد	cuisine	كوزين
money	موني, مُوني, مَوني	partir	بارتير
show	شو, شُو, شو	aussi	أوسي
lady	ليدي, لِيدي, لَيدي	dernier	ديرنييه
style	ستايل, سْتايل, ستايل	heure	إر
pharmacy	فارماسي, فَارماسي, فارمَسي	falloir	فالوار
report	ريبورت, رِيبورت, ريبُورت	argent	أرجون
try	تراي, تْراي, تراي	spectacle	سبيكتاكل
enjoy	إنجوي, إِنْجوي, إنجوي	dame	دام
person	بيرسون, پِيرسون, بيرسون	style	ستايل
party	بارتي, پارتي, بارتي	pharmacie	فارماسِي
movie , film	موفي, فيلم, موڤي	rapport	رابور
post , mail	بوست, ميل, بُوست	essayer	إسّييه
way	واي, وَاِي, واي	apprécier	أبرسييه
turn	تيرن, تُرن, تْرن	personne	بيرسون
glass	غلاس, گلاس, غْلاس	fête	فِيت
then , so	ذِن, سو, ذن	film	فيلم
live	ليف, لايف, لِيف	poste	بوست
mean	مين, مِين, مين	chemin	شَمن
show me	شو مي, شُو مي, شو مي	tourner	تورنيه
house	هاوس, هَوس, هاوس	verre	فير
phone , telephone	فون, تيليفون, فون	alors , donc	ألور ، دونك
let	لت, لِت, لت	vivre	فيفر
bill	بيل, بِل, بيل	vouloir dire	فولوار دير
tonight	تونيت, تُونيت, تونِيت	montres moi	مونتر مَوا
year	يير, يِير, يِر	marcher , travailler	مارشيه ، تراڤاييه
discount	ديسكاونت, ديسكاونت, دِسكاونت	appeler , rappeler	آبليه ، رابليه
kind	كايند, كايند, كايند	maison	ميزون
say	ساي, سَي, ساي	téléphone	تيليفون
package	باكيج, پَاكِج, باكِج	laisser	لاسيه
write	رايت, رِايت, رايت	note	نوت
come	كوم, كُم, كوم	ce soir	سُ سوار
think	ثينك, ثِنك, ثينك	an , année	آن ، آنّي
take	تيك, تايك, تايك	remise	ريميز
store , shop	ستور, شوب, ستور	genre	جونر
just , only	جست, أونلي, جست	dire	دير
large	لارج, لارج, لارج	paquet	باكيه
have , get	هاف, گِت, هاف	écrire	إكريه
make a call	ميك أ كول, ميك أ كَال, ميك أ كول	venir	فُنيه
tell	تل, تِل, تل	croire	كرواه
check	تشيك, چِك, تشيك	prendre	بروندغ
stay , remain	ستاي, رِمين, ستاي	magasin	ماگازان
beautiful	بيوتيفول, بيوتِفول, بِيُوتيفول	seulement	سولي مان
recommend	ريكوميند, ريكُميند, ريكومِند	grand	غْران
please	بليز, پليز, بليز	avoir	أفوار
excuse me	إكسكيوز مي, إكسكْيوز مي, إكسكيوز مي	passer un appel	پاسيه أَنْ آپل
sorry	سوري, سَوري, سوري	indiquer	أَنْديكيه
today	توداي, تُوداي, توْداي	vérifier	فِيريفييه
now	ناو, نَاو, نَاو	rester	رِستيه
very	فري, ڤِري, فيري	beau	بو
well	ويل, وِل, ويل	recommander	ريكومانديه
o'clock	أوكلوك, أُوكلوك, أوكلوك	s' il vous plait , veuillez	سِيل ڤو پلِيه ، ڤويييه
ah!	آه, أَه, آه	demain	دومَن
as soon as	آز سون آز, آز سُن آز, آز سونأز	excuser moi	إكسكوزه موا
is ... true ?	إز ... ترو؟, إز ... تْرو؟, إز ... تْرُو؟	désoler	ديزوليه
could you ... ? , can you ... ?	كود يو ...؟, كان يو ...؟, كود يو ...؟	aujourd'hui	أوژوردوي
darn	دارن, دَارن, دارن	maintenant	مَنتْنان
duty-free	ديوتي فري, دُوتي فري, ديوتي فْري	très	تري
even	إيفن, إيفِن, إيفن	eh bien	إه بيان
good evening	جود إيفنينج, جُود إيفنينج, جود إِفنينج	ah!	آه!
farewell	فَيرويل, فَير وَل, فَيرْوِل	dès que	دِ ك
few	فيو, فُو, فِيُو	est -ce que ... ?	إيه-س ك ...؟
in front	إن فرونت, إن فْرونت, إنْ فرونت	peux -tu ... ?	بُ تو ...؟
hello	هيلو, هَيلو, هِيلو	zut	زُت
hey	هي, هِي, هاي	hors taxe	هُور تاكس
most , more	موست, مور, مَوست	même	مِم
most	موست, مُوست, مَست	bonsoir	بونسوار
must , should	مست, شود, مُست	adieu	آديو
not	نوت, نُت, نَت	quelque	كِلْكُ
did not	ديد نوت, دِد نوت, دِد نَت	devant	دِوَان
will not	ويل نوت, وِل نوت, وِل نَت	bonjour	بونژور
get off	جِت أوف, جِت أُوف, جت أوف	hé!	هِه!
oh!	أوه!, أُه!, أوه!	plus	پْلُوس
okay	أوكاي, أُوكاي, أوكي	la plupart	لا پلُبَار
go out	جو آوت, غُو آوت, جو آوت	ne pas	نِه پَ
pardon , excuse me	بارْدِن, إكسكيوز مي, بارْدِن / إكسكيوز مي	descendre	دِسوندغ
percent	بيرسنت, پِرسنت, بِرسنت	oh!	أُه!
quarter	كوارتر, كُوارتَر, كوارتر	ok	أوك
someone	سَموان, سَم وُن, سَموان	sortir	سورتيه
such	سَتش, سَتش, سَتش	pardon	پاردون
uh!	أه!, أَه!, أه!	pour cent	پُور سَنْ
get up	جِت أب, جِت أَب, جِت أب	quart	كَر
what	وات, وُت, واهت	quelqu'un	كِلْكُون
when	وِن, وِين, وِن	tel que	تِل كُ
which	وِتش, وِتش, وِچ	euh!	أُه!
will , shall	ويل, شَل, ويل	se lever	سُ لِوِه
wow	واو, وَاُو, وَاو	quoi	كُوا
yes , yeah	يَس, يِيَه, يَس	quand	كُان
zero , o	زيرو, أُو, زيرو	quel	كِل
one	وَنْ, وَن, وُن	wouaou	وُاو
two	تو, تُو, تو	oui , ouais	ووي ، ووي
three	ثري, ثْري, ثْرِي	zéro	زِيرو
four	فور, فُور, فْور	un	أَنْ
five	فايف, فَايف, فايڤ	deux	دُو
six	سِكس, سكس, سِكس	trois	تْرُوآ
seven	سيفن, سِفن, سِڤن	quatre	كَتْر
eight	إيت, آيت, إِيْت	cinq	سانك
nine	ناين, نَين, نَين	six	سِيس
ten	تين, تِن, تين	sept	سِت
eleven	إلفن, إِلفِن, إيلفِن	huit	هُيت
twelve	تويلف, تْوِلف, تويلڤ	neuf	نُوف
thirteen	ثيرتين, ثَرْتِين, ثيرتين	dix	دِيس
fourteen	فورتين, فُورْتِين, فورتين	onze	أُونْز
fifteen	فيفتيِن, فِفْتِين, فيفْتِين	douze	دُوز
sixteen	سِكستين, سِكْسْتِين, سِكستين	treize	تْرِيز
seventeen	سيفنتين, سِفِنْتِين, سيفنتين	quatorze	كاتورز
eighteen	إيتين, إِيتِين, آيتين	quinze	كَنْز
nineteen	نينتين, نِينْتِين, نينتين	seize	سِيز
twenty	توينتي, تْوِنْتِي, توينتي	dix-sept	دِيس سِت
twenty-one	توينتي وَنْ, توينتي وَن, توينتي وُن	dix-huit	دِيس هُيت
twenty-two	توينتي تو, توينتي تُو, توينتي تو	dix-neuf	دِيس نُوف
twenty-three	توينتي ثري, توينتي ثْري, توينتي ثري	vingt	ڤِين
twenty-four	توينتي فور, توينتي فُور, توينتي فور	vingt-et-un	ڤِين تي أَنْ
twenty-five	توينتي فايف, توينتي فَايف, توينتي فايف	vingt-deux	ڤِين دُو
twenty-six	توينتي سكس, توينتي سِكس, توينتي سكس	vingt-trois	ڤِين تْرُوآ
twenty-seven	توينتي سِڤن, توينتي سيفن, توينتي سيفِن	vingt-quatre	ڤِين كَتْر
twenty-eight	توينتي إيت, توينتي آيت, توينتي إِيْت	vingt-cinq	ڤِين سانك
twenty-nine	توينتي ناين, توينتي نَين, توينتي نين	vingt-six	ڤِين سِيس
thirty	ثيرتي, ثْرِتِي, ثيرتي	vingt-sept	ڤِين سِت
forty	فورتي, فُورْتِي, فورتِي	vingt-huit	ڤِين هُيت
fifty	فِفتي, فِفْتِي, فِفتي	vingt-neuf	ڤِين نُوف
sixty	سِكستي, سِكْسْتِي, سِكستي	trente	ترونت
seventy	سِڤنتي, سِفِنْتِي, سِڤِنْتِي	quarante	كارونت
eighty	إيتِي, إِيْتِي, آيتِي	cinquante	سانكونت
ninety	ناينتي, نَينْتِي, نينتي	soixante	سواسونت
one hundred	وَنْ هاندْرِد, وَن هَندْرِد, وَنْ هاندرد	soixante-dix	سواسونت دِيس
one thousand	وَنْ ثاوزند, وَن ثاوزند, وَنْ ثاوزند	quatre-vingts	كاتر ڤِين
ten thousand	تِن ثاوزند, تِن ثاوزند, تِن ثاوزند	quatre-vingt-dix	كاتر ڤِين دِيس
one hundred thousand	وَنْ هاندرد ثاوزند, وَن هاندرد ثاوزند, وَنْ هاندرد ثاوزند	cent	سَنْ
one million	وَنْ ميلين, وَن ميلين, وَنْ ميلين	dix-mille	دِيس ميل
one billion	وَنْ بيلين, وَن بيلين, وَنْ بيلين	cent-mille	سَنْ ميل
zeroth	زيروث, زِيروث, زيروث	million	ميليُون
first	فيرست, فِرست, فيرست	milliard	ميليار
second	سكند, سِكند, سكند	premier	پْرِمييه
third	ثيرد, ثِرد, ثيرد	deuxième	دُزيم
fourth	فُورث, فورث, فُورث	troisième	تْرُوِزييم
fifth	فيفث, فِفث, فيفث	quatrième	كاترزييم
sixth	سِكث, سِكْسث, سِكث	cinquième	سانكيم
seventh	سِڤنث, سِفنث, سِڤِنث	sixième	سِزييم
eighth	إيتث, إِيْتث, آيتث	septième	سِتيم
ninth	ناينث, نَينث, نينث	huitième	هُويتييم
tenth	تينث, تِنتث, تينث	neuvième	نُوفييم
eleventh	إلفنث, إِلفنث, إيلفِنث	dixième	ديسييم
twelfth	تويلفث, تْوِلفث, تويلڤث	onzième	أُونزييم
thirteenth	ثيرتينث, ثَرْتِينث, ثيرتينث	douzième	دُوزييم
fourteenth	فورتينث, فُورْتِينث, فورتينث	treizième	تْرِيزييم
fifteenth	فيفتيِنث, فِفْتِينث, فيفْتِينث	quatorzième	كاتورزييم
sixteenth	سِكستينث, سِكْسْتِينث, سِكستينث	quinzième	كَنْزييم
seventeenth	سيفنتينث, سِفِنْتِينث, سيفنتينث	seizième	سِزييم
eighteenth	إيتينث, إِيتِينث, آيتينث	dix-septième	دِيس سِتيم
nineteenth	نينتينث, نِينْتِينث, نينتينث	dix-huitième	دِيس هُويتييم
twentieth	توينتياث, توينتياث, توينتياث	dix-neuvième	دِيس نُوفييم
twenty-first	توينتي فيرست, توينتي فِرست, توينتي فرست	vingtième	ڤِينتييم
twenty-second	توينتي سكند, توينتي سِكند, توينتي سكند	vingt et unième	ڤِين تي أُونِييم
twenty-third	توينتي ثيرد, توينتي ثِرد, توينتي ثيرد	vingt-deuxième	ڤِين دُوزِييم
twenty-fourth	توينتي فورث, توينتي فُورث, توينتي فورث	vingt-troisième	ڤِين تْرُوآزييم
twenty-fifth	توينتي فيفث, توينتي فِفث, توينتي فيفث	vingt-quatrième	ڤِين كاترزييم
twenty-sixth	توينتي سِكث, توينتي سِكث, توينتي سِكث	vingt-cinquième	ڤِين سانكييم
twenty-seventh	توينتي سِڤنث, توينتي سِڤنث, توينتي سِفنث	vingt-sixième	ڤِين سِزييم
twenty-eighth	توينتي إيتث, توينتي إِيْتث, توينتي آيتث	vingt-septième	ڤِين سِتيم
twenty-ninth	توينتي ناينث, توينتي نَينث, توينتي نينث	vingt-huitième	ڤِين هُويتييم
thirtieth	ثيرتيث, ثْرِتِيث, ثيرتيث	vingt-neuvième	ڤِين نُوفييم
fortieth	فورتيث, فُورْتِيث, فورتِيث	trentième	تْرُونتييم
fiftieth	فِفتيث, فِفْتِيث, فِفتيث	quarantième	كارُونتييم
sixtieth	سِكستياث, سِكْسْتِياث, سِكستياث	cinquantième	سانكونتييم
seventieth	سِڤنتياث, سِڤِنْتِياث, سِڤنتياث	soixantième	سواسونتييم
eightieth	إيتِياث, إِيْتِياث, آيتِياث	soixante-dixième	سواسونت دِيسيم
ninetieth	ناينتياث, نَينْتِياث, نينتياث	quatre-vingtième	كاتر ڤِينتيم
hundredth	هاندردث, هَاندْرِدث, هاندردث	quatre-vingt-dixième	كاتر ڤِين دِيسيم
thousandth	ثاوزندث, ثاوزندث, ثاوزندث	centième	سَنْتييم
ten thousandth	تِن ثاوزندث, تِن ثاوزندث, تِن ثاوزندث	millième	مِلييم
hundred thousandth	هاندرد ثاوزندث, هَاندرد ثاوزندث, هاندرد ثاوزندث	dix-millième	دِيس مِلييم
millionth	ميلينث, ميلينث, ميلينث	cent-millième	سَنْ مِلييم
billionth	بيلينث, بيلينث, بيلينث	millionième	ميليونييم
aboard	أبورد, أَبورد, أبورد	milliardième	ميلياردييم
about	أباوت, أَبَوت, أباوت	quatre-vingt	كاتر ڤِين
above	أبوف, أَبُوف, أبوف	à bord	أَ بورد
across	أكروس, أَكْروس, أكروس	environ	أَنْڤيرون
after	آفتر, أَفتر, آفتر	au-dessus	أُو-ديسو
all	أول, أُل, أول	de l' autre côté	دو لاوتر كُوتي
along	ألونج, أَلونج, ألونج	après	أپْرِه
among	أمانج, أَمونج, أمانج	tout	تُو
and	أند, أَنْد, أند	au long	أُو لُونغ
then	ذِن, ذِن, ذِن	parmi	پَارمي
another	أناذر, أَناءر, أناذر	et	إت
around	أراوند, أَرَوند, أراوند	ensuite	أَنْسُويت
as	آز, أَز, آز	vers	ڤير
at	آت, أَت, آت	comme	كُوم
because	بِي كوز, بِكوز, بِي كوز	à	أَ
before	بيفور, بِفور, بيفور	chez	شِيه
behind	بِهيند, بَهيند, بِهيند	parce que	پَرس كُ
beside	بِسايد, بَسايد, بِسايد	avant	أڤَان
between	بتوين, بِتْوين, بتوين	derrière	دِرْيير
but	بت, بَت, بت	près	پْرِيه
by	باي, بِي, باي	entre	أَنْتر
during	دورانج, دُورينج, دورانج	mais	مِه
each	إيتش, إِتش, إِيتش	par	پَار
every	إيفري, إِفري, إِفْري	pendant	پَنْدَان
except	إكسِبت, إكسبت, إكسِبت	chaque	شَك
for	فور, فُور, فُر	sauf	سُوف
from	فروم, فْروم, فروم	pour	پُور
if	إِف, إف, إِف	de	دُ
in , into	إن, إنتو, إِن	si	سِي
inside	إنسايد, إِنسايد, إنسايد	dans	دان
near	نير, نِير, نير	à l' intérieur	أَ لَنتِريور
no	نو, نُو, نو	non	نُون
of	أوف, أُوف, أوف	baisser le prix	بيسيه لو پْري
take off	تيك أوف, تاك أوف, تيك أُوف	sur	سور
on	أون, أُن, أون	ou	أُو
or	أور, أُور, أور	à l' extérieur	أَ لِكسطيريور
outside	أوتسايد, أُوتسايد, أوتسايد	plus de	پْلُوس دُ
over	أوفر, أُوفر, أوفر	en plus de	أَنْ پْلُوس دُ
plus , in addition to	بلس, إن أديشن تو, بلس	depuis	دِپوي
since , ago	سينس, أغو, سينس	du , quelque	دُ ، كِلْكُ
some	سام, سُم, سام	que	كُ
that	ذات, ذَت, ذات	le	لو
the	ذي, ذِي, ذي	jusque	ژُسک
go through , cross	جو ثرو, كروس, جو ثرو / كروس	sous	سُو
till , until	تِل, أَنْتيل, تِل / أَنْتيل	avec	أڤيك
to	تو, تُو, تو	sans	سان
toward	توورد, تُوورد, توورد	je	ژُ
under	أندر, أَنْدَر, أندر	me	مُ
whether	وِذَر, وذَر, وِذَر	le mien , la mienne , les miens , les miennes	لو ميَن ، لا ميَن ، لِ ميان ، لِ ميَن
while	وايل, وَايل, وايل	mon , ma	مُن ، مَا
with	وِذ, وِث, وذ	moi-même	مُا-مِم
within	وِذِن, وذِن, وِذِن	nous	نُ
without	وِذاوت, وذآوت, وِذاوت	le nôtre , la nôtre , les nôtres	لو نُوتر ، لا نُوتر ، لِ نُوتر
I	آي, أَي, آي	nôtre	نُوتر
me	مي, مِي, مي	nous-même	نُو-مِم
mine	ماين, مَين, ماين	tu	تُ
my	ماي, مَاي, ماي	ton	تُوْن
myself	ماي سيلف, مَاِي سيلف, ماي سِلف	te	تُ
we	وي, وِي, وي	toi	تُوا
us	آس, أُس, آس	le tien , la tienne , les tiens , les tiennes	لو تيَن ، لا تيَن ، لِ تيان ، لِ تيان
ours	أورز, أُرز, أورز	toi-même	تُوا-مِم
our	أور, أُور, أور	ta , ton	تَا ، تُوْن
ourselves	أورسِلفز, أُرسِلفز, أورسِلفز	vous	ڤو
you	يو, يُو, يو	votre	ڤوتر
your	يور, يُور, يور	la vôtre , le vôtre , les vôtres	لا ڤوتر ، لو ڤوتر ، لِ ڤوتر
yours	يورز, يُورز, يورز	vous-même	ڤو-مِم
yourself	يور سيلف, يُور سيلف, يور سِلف	il	إِل
he , it	هي, هِي, هِي	sa , son	سَا ، سُون
his	هِز, هِس, هِز	lui	لوي
him	هِم, هِم, هِم	le sien , la sienne , les siens , les siennes	لو سيَن ، لا سيَن ، لِ سيان ، لِ سيان
himself	هِم سيلف, هِم سِلف, هِم سيلف	lui-même	لوي-مِم
she , it	شي, شِي, شي	elle	إِل
her	هِر, هِر, هِر	la	لا
hers	هِرز, هِرز, هِرز	ils	إيل
herself	هِر سيلف, هِر سِلف, هِر سيلف	leur	لُر
they	ذِي, ذَي, ذِي	les	لِ
their	ذِير, ذير, ذِير	eux	أُو
them	ذِم, ذَم, ذِم	la leur , le leur , les leurs	لا لُر ، لو لُر ، لِ لُر
theirs	ذِيرز, ذيرز, ذِيرز	eux-même	أُو-مِم
themselves	ذِم سيلفز, ذِم سِلفز, ذِم سيلفز	elles	إِل
this	ذِس, ذِس, ذِس	leurs	لُر
these two	ذِيز تو, ذِيز تو, ذِيز تو	eux -même	أُو-مِم
these	ذِيز, ذِيز, ذِيز	ce , cet , ceci	سُو ، سِه ، سِسِي
those	ذوز, ذُوز, ذوز	cette , celle -ci	سِت ، سِل-سِي
who	هو, هُو, هُو	ces deux -là	سِ دُو-لا
whom	هُم, هُم, هُم	ces , ceux -ci	سِه ، سُو-سِي
there is ...	ذير إز ..., ذير إِز ..., ذير إز ...	cela , celui -là	سِلا ، سِلُوي-لا
there is not ...	ذير إز نوت ..., ذير إز نَت ..., ذير إز نوت ...	cela , celle -là	سِلا ، سِل-لا
fare	فِير, فَير, فَير	ceux , celles	سُو ، سِل
latest	ليتِست, لايتِست, ليتِست	on	أُون
sister	سِستر, سيستر, سِستر	qui	كِي
ear	إير, إِيَر, إير	il y a	إِل يَ أ
black	بلاك, بْلاك, بلاك	il n' y a pas	إِل نِي أ پَا
shoot	شوت, شُوت, شوت	tarif	تَارِيف
declare	دِكلير, ديكلير, دِكلير	soeur	سور
lend	لِند, لِند, لِند	oreille	أوراي
mother	ماذر, مَاذر, ماذر	noir	نُوار
son	سَن, سُن, سَن	tirer	تِيريه
daughter	دَوتر, دَاوتر, دَوتر	rendre	رَنْدغ
listen	لِسن, لِسِن, لِسن	déclarer	دِكلاريه
suggestion	سَجِستشن, سَجستشن, سَجِستشن	prêter	پْرِتِيه
procedure	بروسِدْيُور, بروسيديور, بروسِدْيُور	mère	مِير
diarrhea	دَياَريريا, دِياريَا, دَياَريريا	fils	فِيس
signal	سِجنل, سيجنل, سِجنل	fille	فِيل
extra	إكسترا, إِكسترا, إكسترا	écouter	إكوكتيه
tire	تاير, تِير, تاير	suggestion	سُجِسشيون
cancellation	كانسِليشن, كانسِليشن, كانسِليشن	procédure	پْروسِدور
english	إِنغليش, إِنگليش, إنغليش	diarrhée	دْياراي
flu	فلو, فْلو, فلو	feu	فُو
rest	ريست, رِست, ريست	supplémentaire	سُپليماںتير
telegram	تيليغرام, تِليغرام, تيليغرام	pneu	پْنُو
simple	سيمبل, سِمْبل, سيمبل	annulation	أَنولاسيون
skin	سكين, سْكين, سكين	anglais	أَنْگليه
onion	أونيون, أُونْيُون, أونيون	grippe	غْريب
visa	فيزا, فِيزا, فيزا	reste	رِست
remember	ريممبر, رِيممبر, ريممبر	échanger	إيشَانجِيه
ski	سكي, سْكي, سكي	télégramme	تِيلِغرام
registration	ريجستريشن, ريجِستريشن, ريجستريشن	peau	پُو
shopping	شوبينج, شوبِنج, شوبينج	oignon	أُنيُون
detail	ديتيل, دِيتيل, ديتيل	visa	ڤيزا
cost	كوست, كُوست, كوست	ski	سْكِي
tv	تي في, تِيفي, تي في	enregistrement	أَنْرِجِسترمَنْ
ice	آيس, أَيس, آيس	shopping	شوبِنغ
dry	دراي, دْرای, دراي	détail	دِتيال
university	يُنيڤرسيتي, يُنيڤرستي, يُنيڤرسيتي	coûter	كُوتيه
timetable	تايم تيبل, تَايْم تيبل, تايم تيبل	télé	تِيلِه
island	آيلاند, أَيلاند, آيلاند	glace	غْلاس
bridge	بريدج, بْريدج, بريدج	sec	سِك
shrimp	شرِمپ, شرمپ, شرِمپ	université	أُنِڤِرْسِتيه
quality	كواليتي, كوالِتي, كواليتي	horaire	أُورَاير
pocket	بوكيت, بُوكِت, بوكيت	île	إيل
bar	بار, بَار, بار	pont	پُون
porter	بورتر, بُورتر, بورتر	crevette	كْرِيفِت
bellboy	بيلبوي, بِل بوي, بيلبوي	qualité	كَالِيتِه
free	فري, فْري, فري	poche	پُوش
lettuce	ليتَس, لِتس, ليتَس	bar	بَار
serious	سيريَس, سِيريَس, سيريَس	porteur	پُورتر
back	باك, بَاك, باك	chasseur	شاسُر
lesson	ليسِن, لِسِن, ليسن	libre	لِيبغ
invite	إنڤايت, إِنڤايت, إنڤايت	laitue	لَيتُ
passenger	بَسِنجر, بَسِنجر, بَسِنجر	grave	غْرَاف
bet	بِت, بَت, بِت	arrière	أَرْيير
spring	سبرينج, سْبرينج, سبرينج	leçon	لِسُون
lobby	لُوبي, لوبي, لُوبي	inviter	أَنْڤِيتِيه
shelf	شيلف, شِلْف, شيلف	passager	پاسّاجيه
ride	رايد, راید, رايد	parier	پَارييه
sport	سبورت, سْبورت, سبورت	printemps	پْرِنطَام
butter	بتر, بَتَر, بتر	hall	هول
button	بَتَن, بَتُون, بَتَن	étagère	إِتاجِير
wife	وائف, وَايف, وائف	monter	مُونتِيه
travel	ترافِل, تْرافِل, ترافِل	sport	سْبُور
theft	ثِفت, ثَفت, ثِفت	beurre	بُغْر
happy	هَپي, هَبي, هَپي	bouton	بُوتُون
ship	شيب, شِيب, شيب	femme	فَام
knife	نايف, نَايْف, نايف	voyager	ڤُوياجِيه
stair	ستير, سْتير, ستير	heureux	أُرُو
earphone	إيرفون, إِيَرْفون, إيرفون	couteau	كُوتُو
movie theater	موفي ثيتر, موڤي ثيتر, موفي ثيتر	escalier	إِسكالييه
slice	سلايس, سْلايس, سلايس	écouteur	إِكُوتُور
thank	ثانك, ثَنْك, ثانك	cinéma	سِينِمَا
certificate	سيرتِفِكِت, سِرتِفِكِت, سيرتِفِكِت	tranche	تْرانش
famous	فييموس, فَيموس, فييموس	remercier	رُمْرسِييه
interesting	إنتريستينج, إِنترِستِنغ, إنتريستينج	certificat	سِرتِفِيكَا
health	هيلث, هِلث, هيلث	célèbre	سِيلِبر
TRUE	ترو, تْرُو, ترو	intéressant	أَنْتِرِسان
newspaper	نيوزبيپر, نيوسبِپر, نيوزبيپر	santé	سانتيه
row	رو, رُو, رو	vrai	ڤْرَي
sauce	سوس, سَوس, سوس	journal	ژُورنال
make	ميك, مِيك, ميك	rang	رَانغ
wool	وول, وُول, وول	sauce	سُوس
fishing	فِشينج, فيشينج, فِشينج	fabriquer	فَابريكِيه
tight	تايت, تَايْت, تايت	laine	لِين
emergency	إمِرجنسي, إيمرجنسي, إمِرجنسي	pêche	پِيش
student	ستودنت, سْتودنت, ستودنت	serré	سِرِّيه
